Extension,Description,Install
Thunder Client,Lightweight Rest API Client for VS Code,https://rangav.gallery.vsassets.io/_apis/public/gallery/publisher/rangav/extension/vscode-thunder-client/2.32.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Ansible,Ansible language support,https://redhat.gallery.vsassets.io/_apis/public/gallery/publisher/redhat/extension/ansible/24.12.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
YAML,"YAML Language Support by Red Hat, with built-in Kubernetes syntax support",https://redhat.gallery.vsassets.io/_apis/public/gallery/publisher/redhat/extension/vscode-yaml/1.15.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Bash Beautify,Format / Beautify bash and shell scripts,https://shakram02.gallery.vsassets.io/_apis/public/gallery/publisher/shakram02/extension/bash-beautify/0.1.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Code Spell Checker,Spelling checker for source code,https://streetsidesoftware.gallery.vsassets.io/_apis/public/gallery/publisher/streetsidesoftware/extension/code-spell-checker/4.0.23/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Even Better TOML,Fully-featured TOML support,https://tamasfe.gallery.vsassets.io/_apis/public/gallery/publisher/tamasfe/extension/even-better-toml/0.19.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
IntelliCode API Usage Examples,See relevant code examples from GitHub for over 100K different APIs right in your editor.,https://visualstudioexptteam.gallery.vsassets.io/_apis/public/gallery/publisher/VisualStudioExptTeam/extension/intellicode-api-usage-examples/0.2.9/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
IntelliCode,AI-assisted development,https://visualstudioexptteam.gallery.vsassets.io/_apis/public/gallery/publisher/VisualStudioExptTeam/extension/vscodeintellicode/1.3.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
vscode-icons,Icons for Visual Studio Code,https://vscode-icons-team.gallery.vsassets.io/_apis/public/gallery/publisher/vscode-icons-team/extension/vscode-icons/12.9.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Git Blame,See git blame information in the status bar.,https://waderyan.gallery.vsassets.io/_apis/public/gallery/publisher/waderyan/extension/gitblame/11.1.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
TODO Highlight,"highlight TODOs, FIXMEs, and any keywords, annotations...",https://wayou.gallery.vsassets.io/_apis/public/gallery/publisher/wayou/extension/vscode-todo-highlight/1.0.5/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jinja,Jinja template language support for Visual Studio Code,https://wholroyd.gallery.vsassets.io/_apis/public/gallery/publisher/wholroyd/extension/jinja/0.0.8/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
PHP Debug,Debug support for PHP with Xdebug,https://xdebug.gallery.vsassets.io/_apis/public/gallery/publisher/xdebug/extension/php-debug/1.35.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
PHP Extension Pack,Everything you need for PHP development,https://xdebug.gallery.vsassets.io/_apis/public/gallery/publisher/xdebug/extension/php-pack/1.0.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Markdown All in One,"All you need to write Markdown (keyboard shortcuts, table of contents, auto preview and more)",https://yzhang.gallery.vsassets.io/_apis/public/gallery/publisher/yzhang/extension/markdown-all-in-one/3.6.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
"Open in GitHub, Bitbucket, Gitlab, VisualStudio.com !","Jump to a source code line in Github, Bitbucket, Gitlab, VisualStudio.com !",https://ziyasal.gallery.vsassets.io/_apis/public/gallery/publisher/ziyasal/extension/vscode-open-in-github/1.3.6/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
PHP IntelliSense,Advanced Autocompletion and Refactoring support for PHP,https://zobo.gallery.vsassets.io/_apis/public/gallery/publisher/zobo/extension/php-intellisense/1.3.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
